Coder's initials,Enter the name of the journal:,Does the journal offer any type of PPPR?,A. Enter the name of the PPPR type offered by the journal:,A. Enter the verbatim description of this type of PPPR provided by the journal,A. Are there any word/comment limits for this type of PPPR?,A. Are there any time limits for submission of this type of PPPR?,A. Are there any reference limits for this type of PPPR?,A. Is this type of PPPR peer reviewed?,A. Are there any other types of PPPR in this journal?,B. Enter the name of the PPPR type offered by the journal:,B. Enter the verbatim description of this type of PPPR provided by the journal,B. Are there any word/comment limits for this type of PPPR?,B. Are there any time limits for submission of this type of PPPR?,B. Are there any reference limits for this type of PPPR?,B. Is this type of PPPR peer reviewed?,B. Are there any other types of PPPR in this journal?,C. Enter the name of the PPPR type offered by the journal:,C. Enter the verbatim description of this type of PPPR provided by the journal,C. Are there any word/comment limits for this type of PPPR?,C. Are there any time limits for submission of this type of PPPR?,C. Are there any reference limits for this type of PPPR?,C. Is this type of PPPR peer reviewed?,C. Are there any other types of PPPR in this journal?,D. Enter the name of the PPPR type offered by the journal:,D. Enter the verbatim description of this type of PPPR provided by the journal,D. Are there any word/comment limits for this type of PPPR?,D. Are there any time limits for submission of this type of PPPR?,D. Are there any reference limits for this type of PPPR?,D. Is this type of PPPR peer reviewed?,D. Are there any other types of PPPR in this journal?,E. Enter the name of the PPPR type offered by the journal:,E. Enter the verbatim description of this type of PPPR provided by the journal,E. Are there any word/comment limits for this type of PPPR?,E. Are there any time limits for submission of this type of PPPR?,E. Are there any reference limits for this type of PPPR?,E. Is this type of PPPR peer reviewed?
SAH/JEK,eLife,YES,Research Advance,"Research Advances
This format is for substantial developments that directly build upon a Research Article, Short Report or Tools and Resources article published previously by eLife. A Research Advance can be submitted by some or all of the authors of the original paper and/or researchers who were not involved in the original paper. A Research Advance might use a new technique or a different experimental design to generate results that build upon the conclusions of the original research by, for example, providing new mechanistic insights or extend the pathway under investigation. Research Advances can also report significant improvements to experimental tools and techniques.

Research Advances can be of any length, and any number of main display items, but there may only need to be minimal introductory material. Authors have flexibility in the format, for example with a combined Results and Discussion section, and there is no need for a detailed Materials and Methods section when the methods are the same as the original paper. Authors should upload a completed version of the Transparent Reporting Form (PDF; Word) to accompany their submission.

When published, Research Advances are linked to the original article, and they are indexed and citable in their own right. When the authors of the original article are not involved in the Research Advance, the corresponding author of the original study will be asked for comments during the review process. Where appropriate, the Research Advance will be considered by the same editors and reviewers who were involved in the assessment of the original paper.",NOT STATED,NOT STATED,NOT STATED,NOT STATED,YES (opens another page),Scientific Correspondence,"Scientific Correspondence
This format should be used for a manuscript that challenges the central findings of a paper published in eLife, and for the formal response to such a manuscript. In the first instance, the author must contact the corresponding author of the original eLife paper in an effort to resolve matters (and include evidence of these efforts in their initial submission). Scientific Correspondence must also be submitted within a year of the original eLife paper being published.

The title of the manuscript should be 'Comment on 'Title of original article' ', and it should be written in a measured tone; manuscripts not written in measured tone will be sent back to the authors for revision: please read this blogpost for more information.

Where possible, the initial submission is considered by the Senior Editor and the Reviewing Editor who handled the original paper (and by others if necessary). In the first instance the Editors will decide if any of the issues raised in the initial submission require a formal Correction to the original article: if a correction is required, the corresponding author of the original paper will be contacted and the Scientific Correspondence will be put on hold until the Correction has been finalized. If a Correction is published and discrepancies between the original paper and the challenge remain, the authors of the Scientific Correspondence will be asked to revise their submission accordingly.

If the Editors agree that the initial submission represents a credible challenge to the central findings of the original paper, a full submission is invited; the initial submission is also sent to the authors of the original paper and they are given 14 days to submit a formal response (which may be shared with the authors of the challenge at some stage in the process). If the initial submission does not represent a credible challenge to the original paper, it is declined.

Once any response has been received, the Editors discuss the challenge and the response, and then decide between the following options: accept both for publication; accept the challenge but reject the response; reject both; proceed with peer review of one or both manuscripts; take another course of action.

If the Editors opt for peer review, the following outcomes are possible: the challenge and the response are both accepted; the challenge is accepted but the response is rejected; the challenge is rejected (which means there is no need to publish the response). Please note the manuscripts will typically be accepted or rejected at this stage of the process; revised manuscripts will not usually be requested.

Full submissions and formal responses should not usually exceed 1,500 words in the main text, excluding the Materials and methods, References, and Figure legends, and should have no more than four main display items (figures, tables, videos). Authors should follow the format for Research Articles or Short Reports, as appropriate; the Results and/or Discussion section should contain separate subsections for each element of the challenge. Both the challenge and the response can contain original data.

While priority is given to manuscripts that challenge eLife papers, we will also consider important submissions that challenge papers published elsewhere. As described above, the author must contact the corresponding author of the original paper in an effort to resolve matters (and include evidence of these efforts in their initial submission), and the Scientific Correspondence must be submitted within a year of the original paper being published.","YES (provide number of words/comments below), 1500","YES (provide detail of time limits below), within a year of the original publication","references are included in the 1500 word limit, but no specific number of references","it may be, the editors decide",YES (opens another page),Annotations,"Use Hypothesis to make notes on any of the content on the eLife website. Whether you choose to share these publicly, or keep them private for your own reference, they are all saved as you go so you can revisit them at a later date.",NOT STATED,NOT STATED,NOT STATED,NO,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT,EMBO JOURNAL,YES,Correspondence,Correspondence concerning the validity of data or its interpretation in articles published in The EMBO Journal.,NOT STATED,NOT STATED,NOT STATED,YES,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
RTT,EMBO JOURNAL,YES,Correspondence (peer-reviewed),Correspondence (peer-reviewed) - Correspondence concerning the validityof data or its interpretation in articles published in The EMBO Journal(see below for further information).,NOT STATED,NOT STATED,NOT STATED,YES,YES (opens another page),Correspondence (not peer-reviewed),"Correspondence (not peer-reviewed) - General science and science policy-related correspondence, feedback on ideas and issues discussed in the
journal.",NOT STATED,NOT STATED,NOT STATED,NO,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT/RTT,EMBO JOURNAL,YES,Correspondence (peer-reviewed),Correspondence (peer-reviewed) - Correspondence concerning the validityof data or its interpretation in articles published in The EMBO Journal(see below for further information).,NOT STATED,NOT STATED,NOT STATED,YES,YES (opens another page),Correspondence (not peer-reviewed),"Correspondence (not peer-reviewed) - General science and science policy-related correspondence, feedback on ideas and issues discussed in the
journal.",NOT STATED,NOT STATED,NOT STATED,NO,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB,EMERGING INFECTIOUS DISEASES,YES,Letter / Letters to the editor,Text word limit: 300. Abstract word limit: NA. Reference limit: 5. Figures & tables: 0. Letters to the editor comment on articles and are more likely to be published if submitted within 4 weeks of the original article's publication. Requirement: corresponding author contact information.,"YES (provide number of words/comments below), 300","UNCLEAR (provide detail below), are more likely to be published if submitted within 4 weeks of the original article's publication","YES (provide number of references below), 5",NOT STATED,YES (opens another page),Comments (Below the line comments),"NA",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
JEK,EMERGING INFECTIOUS DISEASES,YES,Letters to the Editor,Article Type: Letter	Text Word Limit: 300	Abstract Word Limit: NA	Reference Limit: 5	Figures and Tables: 0	Description: Letters to the editor comment on articles and are more likely to be published if submitted within 4 weeks of the original article's publication. Requirement: corresponding author contact information.,"YES (provide number of words/comments below), 300 words","UNCLEAR (provide detail below), :more likely to be published if submitted within 4 weeks of original article","YES (provide number of references below), max 5",NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB/JEK,EMERGING INFECTIOUS DISEASES,YES,Letter / Letters to the editor,Text word limit: 300. Abstract word limit: NA. Reference limit: 5. Figures & tables: 0. Letters to the editor comment on articles and are more likely to be published if submitted within 4 weeks of the original article's publication. Requirement: corresponding author contact information.,"YES (provide number of words/comments below), 300","UNCLEAR (provide detail below), are more likely to be published if submitted within 4 weeks of the original article's publication","YES (provide number of references below), 5",NOT STATED,YES (opens another page),Comments (Below the line comments),"NA","UNCLEAR: 10,000 characters",NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT,Emerging Microbes & Infections,YES,Commentary,Comments are an analysis of recently published papers of particular interest.,"YES (provide number of words/comments below), 1,500 words, inclusive of tables, references, figure captions, footnotes",NOT STATED,"YES (provide number of references below), 15",NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
JEK,Emerging Microbes & Infections,YES,Commentary,"Commentary
Should be written with the following elements in the following order: title page; keywords; main text; acknowledgments; declaration of interest statement; references; appendices (as appropriate); table(s) with caption(s) (on individual pages); figures; figure captions (as a list.
Should be no more than 1,500 words, inclusive of tables, references, figure captions, footnotes. Please add line numbering to the manuscript.
Read making your article more discoverable, including information on choosing a title and search engine optimization.
Comments are an analysis of recently published papers of particular interest. This is a commission-only section. It should contain no more than 2 display items, and cite no more than 15 references.","YES (provide number of words/comments below), 1500 including references","""recent""",included in word limit,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT/JEK,Emerging Microbes & Infections,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH,Energy & Environmental Science,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
RTT,Energy & Environmental Science,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH/RTT,Energy & Environmental Science,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT,ENVIRONMENT INTERNATIONAL,YES,Correspondence,"Opinions, perspectives and insight on articles published in Environment International.",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
